web-scraper-order,web-scraper-start-url,title,issue number,date,year,publisher,desc,owner,collection,pdf link,pdf link-href
1524733384-161,http://dspace.nplg.gov.ge/handle/1234/228927,ეშმაკის მათრახი N22,N22,18-Apr-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N22.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228927/1/Eshmakis_Matraxi_1920_N22.pdf
1524733502-218,http://dspace.nplg.gov.ge/handle/1234/161396,ეშმაკის მათრახი N5,N5,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N5.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161396/1/Eshmakis_Matraxi_1907_N5.pdf
1524733494-214,http://dspace.nplg.gov.ge/handle/1234/161402,ეშმაკის მათრახი N9,N9,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N9.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161402/1/Eshmakis_Matraxi_1907_N9.pdf
1524733481-208,http://dspace.nplg.gov.ge/handle/1234/161497,ეშმაკის მათრახი N15,N15,12-Jan-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N15.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161497/1/Eshmakis_Matraxi_1908_N15.pdf
1524733506-220,http://dspace.nplg.gov.ge/handle/1234/161393,ეშმაკის მათრახი N3,N3,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N3.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161393/1/Eshmakis_Matraxi_1907_N3.pdf
1524733428-182,http://dspace.nplg.gov.ge/handle/1234/161595,ეშმაკის მათრახი N41,N41,27-Jul-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N41.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161595/1/Eshmakis_Matraxi_1908_N41.pdf
1524733436-186,http://dspace.nplg.gov.ge/handle/1234/161581,ეშმაკის მათრახი N37,N37,29-Jun-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N37.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161581/1/Eshmakis_Matraxi_1908_N37.pdf
1524733409-173,http://dspace.nplg.gov.ge/handle/1234/228906,ეშმაკის მათრახი N10,N10,25-Jan-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N10.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228906/1/Eshmakis_Matraxi_1920_N10.pdf
1524733483-209,http://dspace.nplg.gov.ge/handle/1234/161433,ეშმაკის მათრახი N14,N14,1-Jan-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,სახუმარო გაზეთი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N14.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161433/1/Eshmakis_Matraxi_1908_N14.pdf
1524733413-175,http://dspace.nplg.gov.ge/handle/1234/228903,ეშმაკის მათრახი N8,N8,11-Jan-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N8.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228903/1/Eshmakis_Matraxi_1920_N8.pdf
1524733391-164,http://dspace.nplg.gov.ge/handle/1234/228919,ეშმაკის მათრახი N19,N19,28-Mar-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N19.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228919/1/Eshmakis_Matraxi_1920_N19.pdf
1524733426-181,http://dspace.nplg.gov.ge/handle/1234/161598,ეშმაკის მათრახი N42,N42,3-Aug-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N42.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161598/1/Eshmakis_Matraxi_1908_N42.pdf
1524733444-190,http://dspace.nplg.gov.ge/handle/1234/161571,ეშმაკის მათრახი N33,N33,1-Jun-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N33.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161571/1/Eshmakis_Matraxi_1908_N33.pdf
1524733387-162,http://dspace.nplg.gov.ge/handle/1234/228926,ეშმაკის მათრახი N21,N21,10-Apr-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N21.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228926/1/Eshmakis_Matraxi_1920_N21.pdf
1524733459-197,http://dspace.nplg.gov.ge/handle/1234/161544,ეშმაკის მათრახი N26,N26,13-Apr-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N26.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161544/1/Eshmakis_Matraxi_1908_N26.pdf
1524733417-177,http://dspace.nplg.gov.ge/handle/1234/161616,ეშმაკის მათრახი N3,N3,1915,1915,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1915_N3.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161616/1/Eshmakis_Matraxi_1915_N3.pdf
1524733415-176,http://dspace.nplg.gov.ge/handle/1234/228901,ეშმაკის მათრახი N7,N7,1-Jan-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N7.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228901/1/Eshmakis_Matraxi_1920_N7.pdf
1524733419-178,http://dspace.nplg.gov.ge/handle/1234/161611,ეშმაკის მათრახი N2,N2,17-May-1915,1915,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1915_N2.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161611/1/Eshmakis_Matraxi_1915_N2.pdf
