web-scraper-order,web-scraper-start-url,title,issue number,date,year,publisher,desc,owner,collection,pdf link,pdf link-href
1524733349-159,http://dspace.nplg.gov.ge/handle/1234/195687,სახალხო გვარდიელი N1,N1,12-Dec-1920,1920,თბილისი : სახალხო გვარდიის მთავარი შტაბის ორგანო,ორკვირეული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,სახალხო გვარდიელი,Saxalxo-Gvardieli_1920_N1.pdf,http://dspace.nplg.gov.ge/bitstream/1234/195687/1/Saxalxo-Gvardieli_1920_N1.pdf
1524733345-157,http://dspace.nplg.gov.ge/handle/1234/195691,სახალხო გვარდიელი N4,N4,1-Feb-1921,1921,თბილისი : სახალხო გვარდიის მთავარი შტაბის ორგანო,ორკვირეული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,სახალხო გვარდიელი,Saxalxo-Gvardieli_1921_N4.pdf,http://dspace.nplg.gov.ge/bitstream/1234/195691/1/Saxalxo-Gvardieli_1921_N4.pdf
1524733343-156,http://dspace.nplg.gov.ge/handle/1234/195692,სახალხო გვარდიელი N5,N5,15-Feb-1921,1921,თბილისი : სახალხო გვარდიის მთავარი შტაბი,ორკვირეული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,სახალხო გვარდიელი,Saxalxo-Gvardieli_1921_N5.pdf,http://dspace.nplg.gov.ge/bitstream/1234/195692/1/Saxalxo-Gvardieli_1921_N5.pdf
1524733347-158,http://dspace.nplg.gov.ge/handle/1234/195689,სახალხო გვარდიელი N2,N2,1-Jan-1921,1921,თბილისი : სახალხო გვარდიის მთავარი შტაბის ორგანო,ორკვირეული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,სახალხო გვარდიელი,Saxalxo-Gvardieli_1921_N2.pdf,http://dspace.nplg.gov.ge/bitstream/1234/195689/1/Saxalxo-Gvardieli_1921_N2.pdf
