web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525498733-5968","http://www.nplg.gov.ge/ilia/ka/u4331/","2","http://www.nplg.gov.ge/ilia/ka/u4331/2/","ძიძიგური, ლავრენტი იოსების ძე","http://www.nplg.gov.ge/ilia/ka/00006527/","ლავრენტი იოსების ძე ძიძიგური","themes/bios/images/nophoto0n.jpg","18??","null","null","პედაგოგი","დიდი გომარეთის სკოლის მასწავლებელი, 1917 წ.","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბორჩალოს მაზრის განყოფილების დამფუძნებელი წევრი (1917-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1916-)</li>","null","null","null","null","null","null"
"1525503226-8034","http://www.nplg.gov.ge/ilia/ka/u4325/","17","http://www.nplg.gov.ge/ilia/ka/u4325/17/","ქობალავა, დავით","http://www.nplg.gov.ge/ilia/ka/00003305/","დავით ქობალავა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სოხუმის განყოფილების წევრი (1913-)</li>","null","null","null","null","null","null"
"1525499763-6442","http://www.nplg.gov.ge/ilia/ka/u4329/","33","http://www.nplg.gov.ge/ilia/ka/u4329/33/","ჩხიკვიშვილი, ნატალია","http://www.nplg.gov.ge/ilia/ka/00014304/","ნატალია ჩხიკვიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525501613-7294","http://www.nplg.gov.ge/ilia/ka/u4328/","7","http://www.nplg.gov.ge/ilia/ka/u4328/7/","შანშიაშვილი, გიორგი გრიგოლის ძე","http://www.nplg.gov.ge/ilia/ka/00014215/","გიორგი გრიგოლის ძე შანშიაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525503298-8066","http://www.nplg.gov.ge/ilia/ka/u4325/","14","http://www.nplg.gov.ge/ilia/ka/u4325/14/","ქინქლაძე, ალექსი","http://www.nplg.gov.ge/ilia/ka/00006617/","ალექსი ქინქლაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების მუდმივი წევრი (1917-1921)</li>","null","null","null","null","null","null"
"1525502015-7478","http://www.nplg.gov.ge/ilia/ka/u4327/","8","http://www.nplg.gov.ge/ilia/ka/u4327/8/","ყიფიანი,მ.ზ.","http://www.nplg.gov.ge/ilia/ka/00010764/","მ.ზ. ყიფიანი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების განჯის განყოფილების ნამდვილი წევრი (1914-)</li>","null","null","null","null","null","null"
"1525498779-5989","http://www.nplg.gov.ge/ilia/ka/u4330/","","","ცაგარეიშვილი, ემელიანე ივანეს ძე","http://www.nplg.gov.ge/ilia/ka/00004116/","ემელიანე ივანეს ძე ცაგარეიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ხონის განყოფილების სარევიზიო კომისიის წევრი (1911-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1908-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ხონის განყოფილების ნამდვილი წევრი (1909-)</li>","null","null","null","null","null","null"
"1525498888-6040","http://www.nplg.gov.ge/ilia/ka/u4330/","16","http://www.nplg.gov.ge/ilia/ka/u4330/16/","ცხვედაძე, ალექსანდრე ზებედეს ძე","http://www.nplg.gov.ge/ilia/ka/00004206/","ალექსანდრე ზებედეს ძე ცხვედაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების დამხმარებელი წევრი საგარეჯოში (1886-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1879-)</li>","null","სახლი
მისამართი:საგარეჯო","მისამართი:საგარეჯო","მისამართი:საგარეჯო","null","null"
"1525503143-7996","http://www.nplg.gov.ge/ilia/ka/u4325/","19","http://www.nplg.gov.ge/ilia/ka/u4325/19/","ქორქაშვილი, გიორგი მაქსიმეს ძე","http://www.nplg.gov.ge/ilia/ka/00003316/","გიორგი მაქსიმეს ძე ქორქაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1900-)</li>","null","null","null","null","null","null"
"1525503273-8056","http://www.nplg.gov.ge/ilia/ka/u4325/","15","http://www.nplg.gov.ge/ilia/ka/u4325/15/","ქირთბაია, ნესტორ ბახვას ძე","http://www.nplg.gov.ge/ilia/ka/00015428/","ნესტორ ბახვას ძე ქირთბაია","themes/bios/images/nophoto0n.jpg","18??","null","null","პედაგოგი","სამურზაყანოს წერა-კითხვის გამავრცელებელი საზოგადოების წევრი, განმანათლებელი, სოფელ ოტობაიაში სკოლის დამაარსებელი და დირექტორი. მის სახელს ატარებს ოტობაიას პირველი საშუალო სკოლა","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სამურზაყანოს განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
