web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525496442-5409","http://www.nplg.gov.ge/ilia/ka/u4333/","17","http://www.nplg.gov.ge/ilia/ka/u4333/17/","ჭყონია, ვალერიან პორფილეს ძე","http://www.nplg.gov.ge/ilia/ka/00011148/","ვალერიან პორფილეს ძე ჭყონია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ლანჩხუთის განყოფილების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525495263-4875","http://www.nplg.gov.ge/ilia/ka/u4334/","26","http://www.nplg.gov.ge/ilia/ka/u4334/26/","ხუციშვილი, ვლადიმერ სვიმონის ძე","http://www.nplg.gov.ge/ilia/ka/00005411/","ვლადიმერ სვიმონის ძე ხუციშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","სასულიერო პირი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბორჯომის განყოფილების წევრი (1912-1914)</li>","null","null","null","null","null","null"
"1525493760-4363","http://www.nplg.gov.ge/ilia/ka/u4335/","25","http://www.nplg.gov.ge/ilia/ka/u4335/25/","ჯულაბიშვილი, ნ.ნ.","http://www.nplg.gov.ge/ilia/ka/00005594/","ნ.ნ. ჯულაბიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების  განჯის განყოფილების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525496327-5356","http://www.nplg.gov.ge/ilia/ka/u4333/","11","http://www.nplg.gov.ge/ilia/ka/u4333/11/","ჭიაბერაშვილი, მარიამ","http://www.nplg.gov.ge/ilia/ka/00015453/","მარიამ ჭიაბერაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
"1525496250-5321","http://www.nplg.gov.ge/ilia/ka/u4334/","2","http://www.nplg.gov.ge/ilia/ka/u4334/2/","ხაინდრავა, კონსტანტინე","http://www.nplg.gov.ge/ilia/ka/00012560/","კონსტანტინე ხაინდრავა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სენაკის განყოფილების ლესაინდრას ბიბლიოთეკის მზრუნველი (1916-)</li>","null","null","null","null","null","null"
"1525495065-4807","http://www.nplg.gov.ge/ilia/ka/u4334/","11","http://www.nplg.gov.ge/ilia/ka/u4334/11/","ხეჩუაშვილი, იაკობ ისაკის ძე","http://www.nplg.gov.ge/ilia/ka/00012824/","იაკობ ისაკის ძე ხეჩუაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525496069-5237","http://www.nplg.gov.ge/ilia/ka/u4334/","6","http://www.nplg.gov.ge/ilia/ka/u4334/6/","ხატისკაცი, ალექსანდრე მიხეილის ძე","http://www.nplg.gov.ge/ilia/ka/00007940/","ალექსანდრე მიხეილის ძე ხატისკაცი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სიღნაღის განყოფილების ნამდვილი წევრი (1915-)</li>","null","null","null","null","null","null"
"1525497422-5860","http://www.nplg.gov.ge/ilia/ka/u4332/","4","http://www.nplg.gov.ge/ilia/ka/u4332/4/","წეროძე, მიხეილ","http://www.nplg.gov.ge/ilia/ka/00004269/","მიხეილ წეროძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ჭიათურის განყოფილების ნამდვილი წევრი (1913-)</li>","null","null","null","null","null","null"
"1525496963-5649","http://www.nplg.gov.ge/ilia/ka/u4333/","3","http://www.nplg.gov.ge/ilia/ka/u4333/3/","ჭავჭანიძე, მოსე გიორგის ძე","http://www.nplg.gov.ge/ilia/ka/00012810/","მოსე გიორგის ძე ჭავჭანიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თბილისის განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
"1525496347-5366","http://www.nplg.gov.ge/ilia/ka/u4333/","11","http://www.nplg.gov.ge/ilia/ka/u4333/11/","ჭელიძე, სევერიან ლუკას ძე","http://www.nplg.gov.ge/ilia/ka/00004589/","სევერიან ლუკას ძე ჭელიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების კავკავის განყოფილების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525494581-4646","http://www.nplg.gov.ge/ilia/ka/u4335/","8","http://www.nplg.gov.ge/ilia/ka/u4335/8/","ჯანელიძე, შალვა სიმონის ძე","http://www.nplg.gov.ge/ilia/ka/00008979/","შალვა სიმონის ძე ჯანელიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ქუთაისის განყოფილების წევრი (1916-)</li>","null","null","null","null","null","null"
"1525497004-5668","http://www.nplg.gov.ge/ilia/ka/u4333/","2","http://www.nplg.gov.ge/ilia/ka/u4333/2/","ჭავჭანიძე, გიგო ივანეს ძე","http://www.nplg.gov.ge/ilia/ka/00010352/","გიგო ივანეს ძე ჭავჭანიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ხონის განყოფილების ნამდვილი წევრი (1910-)</li>","null","null","null","null","null","null"
"1525497231-5772","http://www.nplg.gov.ge/ilia/ka/u4332/","9","http://www.nplg.gov.ge/ilia/ka/u4332/9/","წულაია, თამარ","http://www.nplg.gov.ge/ilia/ka/00012747/","თამარ წულაია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525493930-4421","http://www.nplg.gov.ge/ilia/ka/u4335/","22","http://www.nplg.gov.ge/ilia/ka/u4335/22/","ჯოლოხავა, სტეფანე ბაკუტას ძე","http://www.nplg.gov.ge/ilia/ka/00015832/","სტეფანე ბაკუტას ძე ჯოლოხავა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფუქის განყოფილების წევრი (1917-)</li>","null","null","null","null","null","null"
